"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"1297",0.1845925,0.19171,0.1295025,0.0443066666666667,0.0487945,0.042615,0.038105,0.040185,0.0367375,0.04406,0.07602,0.1445675
"1299",0.15559,0.17194,0.12292,0.0279533333333333,0.01646,0.0035525,0.007755,0.00716,0.0062075,0.02144,0.0943875,0.1622575
"1437",-2.5000000000025e-06,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0,0
"1702",0,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,-2.50000000001638e-06
"1851",-0.21698,-0.20529,-0.081405,-0.000376666666666673,-0.0036875,-0.00366499999999999,-0.0183725,-0.01649,-0.0236925,-0.0237166666666667,-0.0768075,-0.173135
"3301",-0.3851125,-0.4157225,-0.233335,-0.08105,-0.05950825,-0.0412,-0.0521275,-0.0539425,-0.059625,-0.0723466666666667,-0.1583325,-0.370445
"3444",-0.1745525,-0.1860875,-0.1294375,-0.05771,-0.04846775,-0.0385925,-0.0360475,-0.0365075,-0.0337975,-0.0439633333333333,-0.07111,-0.12885
"3445",-0.3842725,-0.4173875,-0.2390525,-0.0840066666666667,-0.0599775,-0.04082,-0.051615,-0.053545,-0.05964,-0.07307,-0.15701,-0.3686175
"3585",0.0247425,0.0204225,0.01932,0.00751433333333334,0.01942425,0.03005125,0.02927,0.0275615,0.02566575,0.018546,0.000532499999999998,0.003435
"3586",-0.1743175,-0.1856775,-0.1316175,-0.0608366666666667,-0.048353,-0.0381525,-0.0357325,-0.03624,-0.033605,-0.04401,-0.07175,-0.1296825
"4146",0.02888,0.02625,0.011175,0.008738,0.0202015,0.03241375,0.03147,0.028929,0.02645075,0.0185986666666667,-1.17500000000013e-05,0.011005
"4971",0.0293825,0.0121575,0.0322425,0.0183533333333333,0.02866175,0.02689,0.019615,0.023685,0.023785,0.0219633333333333,0.0084575,0.0147
"5124",0.023725,0.013145,0.0193625,0.01912,0.0292015,0.0279925,0.022035,0.0250075,0.024715,0.0226366666666667,0.00734,0.01518
"5125",-0.17144,-0.1813675,-0.1171125,-0.04688,-0.04609425,-0.0303675,-0.02782,-0.0320875,-0.0315225,-0.0437833333333333,-0.0754575,-0.1404225
"5126",-0.197555,-0.2038675,-0.1464725,-0.060248,-0.06786325,-0.06784375,-0.0648425,-0.0642015,-0.05931825,-0.062553,-0.07211775,-0.147355
"5386",0.1753425,0.175785,0.120185,0.0462566666666667,0.044834,0.026155,0.02201,0.03018,0.031835,0.04323,0.074755,0.1409075
"5388",0,0,0,0,0,0,0,0,0,0,0,0
"5656",-4.99999999997724e-06,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,2.50000000001638e-06
"5657",-0.21355,-0.18198,-0.096225,-0.00731999999999999,-0.00448750000000001,-0.00621000000000001,-0.01878,-0.0201325,-0.02435,-0.0237766666666667,-0.0779575,-0.1836175
"5658",0.3663425,0.342015,0.1941875,0.0336833333333333,0.021795,0.007655,0.023985,0.030265,0.0340625,0.0456433333333333,0.14018,0.2999975
"5659",0.15236,0.15938,0.0992725,0.0228666666666667,0.0173,0.00147999999999999,0.00517750000000001,0.00997,0.0096,0.02168,0.067045,0.126375
"6107",0.175605,0.17695,0.115345,0.0428233333333333,0.044782,0.0262575,0.0235275,0.029565,0.030605,0.0435966666666667,0.07003,0.1267925
"6110",0.025385,0.042775,0.0478975,0.029068,0.05106075,0.06591125,0.059885,0.056869,0.05172075,0.0413326666666667,0.0079285,-0.000379999999999998
"6322",0.0124225,0.0047925,0.0231375,0.00467133333333334,0.0200465,0.03484625,0.03049,0.029399,0.02953825,0.0179593333333333,-0.0013365,0.00196249999999999
