"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"2152",0,0,0,0,0,0,0,0,0,0,0,0
"3146",0,0,0,0,0,0,0,0,0,0,0,0
"3152",-0.1753725,-0.186705,-0.127385,-0.0575266666666667,-0.04836575,-0.0388375,-0.03578,-0.037025,-0.03416,-0.0438466666666667,-0.07232,-0.13017
"3280",0,0,0,0,0,0,0,0,0,0,0,0
"3281",0.15109,0.17007,0.0999275,0.0247133333333333,0.016835,0.002865,0.0067625,0.007115,0.00661,0.02146,0.0647625,0.16169
"3395",-2.49999999998862e-06,2.49999999998862e-06,-2.50000000001638e-06,0,0,0,0,0,0,0,0,0
"3571",0,2.5000000000025e-06,0,0,0,0,0,0,0,0,0,0
"3708",0,0,0,0,0,0,0,0,0,0,0,0
"3709",-0.175105,-0.18513,-0.1279875,-0.05159,-0.0474825,-0.0357575,-0.0325075,-0.03575,-0.03347,-0.04372,-0.074525,-0.14356
"3853",0,0,0,0,0,0,0,0,0,0,0,0
"3854",0.0266625,0.021715,0.023325,0.008298,0.020187,0.03231625,0.03214,0.0287515,0.02608825,0.018706,0.000236000000000004,0.00802749999999999
"3875",0.02514,0.0162825,0.0174375,0.00709800000000001,0.0195015,0.03063625,0.02942,0.0279365,0.02610075,0.018486,-0.000858999999999999,0.00986000000000001
"3956",0,0,2.50000000001638e-06,0,0,0,0,0,0,0,0,0
"3989",0.17448,0.1844475,0.11601,0.05011,0.04708075,0.0342125,0.0308325,0.034975,0.033125,0.0436633333333333,0.07155,0.143515
"4015",0,0,0,0,0,0,0,0,0,0,0,0
"4016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4095",5.000000000005e-06,-2.50000000001638e-06,0,0,0,0,0,0,0,0,0,-2.49999999998862e-06
"4096",-5.000000000005e-06,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,2.50000000001638e-06
"4097",2.49999999998862e-06,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,-5.000000000005e-06
"4098",2.50000000004413e-06,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,-2.49999999998862e-06
"4137",0,0,0,0,0,0,0,0,0,0,0,0
"4243",2.49999999998862e-06,2.50000000001638e-06,0,0,0,0,0,0,0,0,0,0
"4246",2.5000000000025e-06,-2.5000000000025e-06,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0
"4285",0,0,0,0,0,0,0,0,0,0,0,0
"4292",0.057935,0.0374925,0.04355,0.0287046666666667,0.05130575,0.06532875,0.05868,0.0582415,0.05511075,0.0423193333333333,0.00790100000000001,0.0293366666666667
"4392",0.1796975,0.1803025,0.1236575,0.05145,0.0455695,0.02883,0.023675,0.03305,0.0333675,0.04315,0.0727975,0.1429475
"4397",-0.14648,-0.1701125,-0.09574,-0.0305266666666667,-0.0171,-0.0021425,-0.0058925,-0.0090725,-0.0090575,-0.0218033333333333,-0.05701,-0.10035
"4399",-0.1532025,-0.1701825,-0.1120625,-0.0439866666666667,-0.0170775,-0.00218,-0.00589750000000001,-0.00882,-0.008825,-0.0217633333333333,-0.075305,-0.14881
"4400",-0.0497475,-0.0400425,-0.0293125,-0.0236666666666667,-0.05062075,-0.06556375,-0.0590375,-0.056704,-0.05127825,-0.040716,0.00179849999999999,0.0207325
"4407",2.5000000000025e-06,0,0,0,0,0,0,0,0,0,0,0
"4431",0.0557825,0.0357175,0.0389075,0.028178,0.05125575,0.06536625,0.0587725,0.0581015,0.05467825,0.0421593333333333,0.00934275,0.0106275
"4547",-0.153055,-0.1646225,-0.0867,-0.0273133333333333,-0.01702,-0.00225,-0.00584,-0.0080625,-0.0080325,-0.0215433333333333,-0.0539525,-0.09155
"4548",-0.1517375,-0.169695,-0.095985,-0.02966,-0.0170075,-0.00227,-0.00584750000000002,-0.007945,-0.0079075,-0.02152,-0.057845,-0.109305
"4551",0.17417,0.1824925,0.11561,0.0487833333333333,0.04634075,0.031295,0.02773,0.0332725,0.0324125,0.0439333333333333,0.0749725,0.143755
"4553",0.024375,0.013715,0.022775,0.01992,0.0295,0.029255,0.022355,0.0259325,0.0251225,0.0222966666666667,0.00663,0.00385749999999999
"4681",0.0288525,0.0109225,0.0267125,0.0185133333333333,0.02852025,0.0267675,0.0185575,0.0234475,0.0236925,0.02157,0.00813749999999999,0.01991
"4706",0.0301025,0.0259975,0.017055,0.009418,0.02106375,0.03519125,0.0343775,0.030644,0.02723575,0.018666,-0.000792500000000002,0.0119625
"4712",0,0,0,0,0,0,0,0,0,0,0,0
"4743",0.00448666666666667,0.0102025,0.0194075,0.006868,0.01959425,0.03310375,0.030895,0.0293015,0.02760825,0.0183126666666667,-0.001209,-0.00459
"4960",0.2087425,0.2095875,0.1466525,0.0591646666666667,0.06779325,0.06769125,0.06501,0.065844,0.06029575,0.0624423333333333,0.076435,0.1579175
"5020",0,0,0,0,0,0,0,0,0,0,0,0
"5159",-0.0108275,-0.013735,-0.0228725,-0.006498,-0.02042525,-0.03504875,-0.0326575,-0.0305415,-0.02831075,-0.0183426666666667,0.0012215,0.00172
"5164",0.0207425,0.012725,0.0168675,0.00685466666666668,0.02023825,0.03494875,0.0324325,0.0304165,0.02834575,0.0182456666666667,-0.00117675,0.00239000000000001
"5224",-2.50000000001638e-06,4.99999999997724e-06,0,0,0,0,0,0,0,0,0,0
"5256",-0.145845,-0.1677575,-0.0913,-0.0231733333333333,-0.01702,-0.0020125,-0.00542250000000001,-0.00795250000000001,-0.00801499999999999,-0.0214333333333333,-0.055285,-0.0940575
"5281",-0.02912,-0.01967,-0.034515,-0.0204733333333333,-0.030026,-0.0293225,-0.0248425,-0.0265275,-0.026285,-0.0237033333333333,-0.00787,-0.01492
"5282",-0.043555,-0.0452975,-0.0524125,-0.0291713333333333,-0.05145325,-0.06559625,-0.0593125,-0.0579815,-0.05447575,-0.042296,-0.0070535,-0.00526749999999999
