"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"866",2.49999999998862e-06,-2.50000000001638e-06,0,0,0,0,0,0,0,0,0,2.49999999998862e-06
"871",NA,NA,NA,NA,-0.07071825,-0.07083125,-0.0830625,-0.0814765,-0.08385325,NA,NA,NA
"872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873",-7.49999999999362e-06,-2.49999999998862e-06,4.99999999997724e-06,0,0,0,0,0,0,0,0,0
"1291",-0.1859825,-0.1919225,-0.13394,-0.0444766666666667,-0.048484,-0.0420075,-0.037235,-0.0405075,-0.036985,-0.0473566666666667,-0.085345,-0.1478725
"1292",-0.2174425,-0.2136125,-0.0998075,-0.00025,-0.0037975,-0.003045,-0.0182225,-0.01634,-0.02385,-0.0238466666666667,-0.0978,-0.2061575
"1295",-0.1847975,-0.1918,-0.12804,-0.04475,-0.04869175,-0.04243,-0.0378325,-0.040285,-0.0368075,-0.0441933333333333,-0.077105,-0.1455825
"1296",2.49999999998862e-06,2.49999999998862e-06,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0
"1297",0.1845925,0.19171,0.1295025,0.0443066666666667,0.0487945,0.042615,0.038105,0.040185,0.0367375,0.04406,0.07602,0.1445675
"1299",0.15559,0.17194,0.12292,0.0279533333333333,0.01646,0.0035525,0.007755,0.00716,0.0062075,0.02144,0.0943875,0.1622575
"1437",-2.5000000000025e-06,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0,0
"1702",0,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,-2.50000000001638e-06
"1851",-0.21698,-0.20529,-0.081405,-0.000376666666666673,-0.0036875,-0.00366499999999999,-0.0183725,-0.01649,-0.0236925,-0.0237166666666667,-0.0768075,-0.173135
