; Number of ROIs: 1
; File Dimension: 17 x 14
;
; ROI name: ROI #2
; ROI rgb value: {0, 128, 0}
; ROI npts: 238
;
; File X, File Y, Lat, Lon, B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20, B21, B22, B23, B24, B25, B26, B27, B28, B29, B30, B31, B32, B33, B34, B35, B36, B37, B38, B39, B40, B41, B42, B43, B44, B45, B46, B47, B48, B49, B50, B51, B52, B53, B54, B55, B56, B57, B58, B59, B60, B61, B62, B63, B64, B65, B66, B67, B68, B69, B70, B71, B72, B73, B74, B75, B76, B77, B78, B79, B80, B81, B82, B83, B84, B85, B86, B87, B88, B89, B90, B91, B92, B93, B94, B95, B96, B97, B98, B99, B100, B101, B102, B103, B104, B105, B106, B107, B108, B109, B110, B111, B112, B113, B114, B115, B116, B117, B118, B119, B120
;
  0,   0,  50.00000000,  261.00000000,  110.482857,  175.102844,  269.180023,  369.130737,  445.195892,  479.746155,  460.670929,  395.714233,  303.098907,  204.481598,  126.441605,   92.827827,  110.096931,  174.348373,  268.177521,  368.279541,  444.595917,  479.436005,  461.011658,  396.352478,  303.866974,  205.074509,  126.884605,   92.865494,  109.709000,  175.045959,  270.743195,  370.573486,  445.952820,  479.575867,  459.717316,  394.212311,  301.336914,  202.877029,  125.416290,   92.640503,  110.742302,  175.704117,  269.873474,  369.756531,  445.428986,  479.467285,  460.134064,  394.890076,  302.051849,  203.580902,  125.862564,   92.681076,  110.407173,  175.007202,  269.031494,  369.013397,  445.042206,  479.438110,  460.468781,  395.434204,  302.820801,  204.277634,  126.307480,   92.738823,  110.053551,  174.304596,  268.207458,  368.253601,  444.502014,  479.320953,  460.779083,  396.064178,  303.567657,  204.990555,  126.784218,   92.818581,  109.725357,  175.083267,  270.755280,  370.540344,  445.890594,  479.464722,  459.619598,  394.038391,  301.097809,  202.695892,  125.326523,   92.599602,  110.783928,  175.762283,  269.937134,  369.795837,  445.466766,  479.443329,  460.028168,  394.711823,  301.901398,  203.427475,  125.789177,   92.663155,  110.445076,  175.109283,  269.168671,  369.173096,  445.103546,  479.465851,  460.484375,  395.423889,  302.750000,  204.188095,  126.278099,   92.749031,  110.117012,  174.429596,  268.374969,  368.533386,  444.774475,  479.526367,  460.875214,  396.074127,  303.548553,  204.976120,  126.793716,   92.867363
  1,   0,  50.00000000,  262.00000000,  110.482857,  175.102844,  269.180023,  369.130737,  445.195892,  479.746155,  460.670929,  395.714233,  303.098907,  204.481598,  126.441605,   92.827827,  110.096931,  174.348373,  268.177521,  368.279541,  444.595917,  479.436005,  461.011658,  396.352478,  303.866974,  205.074509,  126.884605,   92.865494,  109.709000,  175.045959,  270.743195,  370.573486,  445.952820,  479.575867,  459.717316,  394.212311,  301.336914,  202.877029,  125.416290,   92.640503,  110.742302,  175.704117,  269.873474,  369.756531,  445.428986,  479.467285,  460.134064,  394.890076,  302.051849,  203.580902,  125.862564,   92.681076,  110.407173,  175.007202,  269.031494,  369.013397,  445.042206,  479.438110,  460.468781,  395.434204,  302.820801,  204.277634,  126.307480,   92.738823,  110.053551,  174.304596,  268.207458,  368.253601,  444.502014,  479.320953,  460.779083,  396.064178,  303.567657,  204.990555,  126.784218,   92.818581,  109.725357,  175.083267,  270.755280,  370.540344,  445.890594,  479.464722,  459.619598,  394.038391,  301.097809,  202.695892,  125.326523,   92.599602,  110.783928,  175.762283,  269.937134,  369.795837,  445.466766,  479.443329,  460.028168,  394.711823,  301.901398,  203.427475,  125.789177,   92.663155,  110.445076,  175.109283,  269.168671,  369.173096,  445.103546,  479.465851,  460.484375,  395.423889,  302.750000,  204.188095,  126.278099,   92.749031,  110.117012,  174.429596,  268.374969,  368.533386,  444.774475,  479.526367,  460.875214,  396.074127,  303.548553,  204.976120,  126.793716,   92.867363
  2,   0,  50.00000000,  263.00000000,  110.482857,  175.102844,  269.180023,  369.130737,  445.195892,  479.746155,  460.670929,  395.714233,  303.098907,  204.481598,  126.441605,   92.827827,  110.096931,  174.348373,  268.177521,  368.279541,  444.595917,  479.436005,  461.011658,  396.352478,  303.866974,  205.074509,  126.884605,   92.865494,  109.709000,  175.045959,  270.743195,  370.573486,  445.952820,  479.575867,  459.717316,  394.212311,  301.336914,  202.877029,  125.416290,   92.640503,  110.742302,  175.704117,  269.873474,  369.756531,  445.428986,  479.467285,  460.134064,  394.890076,  302.051849,  203.580902,  125.862564,   92.681076,  110.407173,  175.007202,  269.031494,  369.013397,  445.042206,  479.438110,  460.468781,  395.434204,  302.820801,  204.277634,  126.307480,   92.738823,  110.053551,  174.304596,  268.207458,  368.253601,  444.502014,  479.320953,  460.779083,  396.064178,  303.567657,  204.990555,  126.784218,   92.818581,  109.725357,  175.083267,  270.755280,  370.540344,  445.890594,  479.464722,  459.619598,  394.038391,  301.097809,  202.695892,  125.326523,   92.599602,  110.783928,  175.762283,  269.937134,  369.795837,  445.466766,  479.443329,  460.028168,  394.711823,  301.901398,  203.427475,  125.789177,   92.663155,  110.445076,  175.109283,  269.168671,  369.173096,  445.103546,  479.465851,  460.484375,  395.423889,  302.750000,  204.188095,  126.278099,   92.749031,  110.117012,  174.429596,  268.374969,  368.533386,  444.774475,  479.526367,  460.875214,  396.074127,  303.548553,  204.976120,  126.793716,   92.867363
  3,   0,  50.00000000,  264.00000000,  110.482857,  175.102844,  269.180023,  369.130737,  445.195892,  479.746155,  460.670929,  395.714233,  303.098907,  204.481598,  126.441605,   92.827827,  110.096931,  174.348373,  268.177521,  368.279541,  444.595917,  479.436005,  461.011658,  396.352478,  303.866974,  205.074509,  126.884605,   92.865494,  109.709000,  175.045959,  270.743195,  370.573486,  445.952820,  479.575867,  459.717316,  394.212311,  301.336914,  202.877029,  125.416290,   92.640503,  110.742302,  175.704117,  269.873474,  369.756531,  445.428986,  479.467285,  460.134064,  394.890076,  302.051849,  203.580902,  125.862564,   92.681076,  110.407173,  175.007202,  269.031494,  369.013397,  445.042206,  479.438110,  460.468781,  395.434204,  302.820801,  204.277634,  126.307480,   92.738823,  110.053551,  174.304596,  268.207458,  368.253601,  444.502014,  479.320953,  460.779083,  396.064178,  303.567657,  204.990555,  126.784218,   92.818581,  109.725357,  175.083267,  270.755280,  370.540344,  445.890594,  479.464722,  459.619598,  394.038391,  301.097809,  202.695892,  125.326523,   92.599602,  110.783928,  175.762283,  269.937134,  369.795837,  445.466766,  479.443329,  460.028168,  394.711823,  301.901398,  203.427475,  125.789177,   92.663155,  110.445076,  175.109283,  269.168671,  369.173096,  445.103546,  479.465851,  460.484375,  395.423889,  302.750000,  204.188095,  126.278099,   92.749031,  110.117012,  174.429596,  268.374969,  368.533386,  444.774475,  479.526367,  460.875214,  396.074127,  303.548553,  204.976120,  126.793716,   92.867363
  4,   0,  50.00000000,  265.00000000,  110.482857,  175.102844,  269.180023,  369.130737,  445.195892,  479.746155,  460.670929,  395.714233,  303.098907,  204.481598,  126.441605,   92.827827,  110.096931,  174.348373,  268.177521,  368.279541,  444.595917,  479.436005,  461.011658,  396.352478,  303.866974,  205.074509,  126.884605,   92.865494,  109.709000,  175.045959,  270.743195,  370.573486,  445.952820,  479.575867,  459.717316,  394.212311,  301.336914,  202.877029,  125.416290,   92.640503,  110.742302,  175.704117,  269.873474,  369.756531,  445.428986,  479.467285,  460.134064,  394.890076,  302.051849,  203.580902,  125.862564,   92.681076,  110.407173,  175.007202,  269.031494,  369.013397,  445.042206,  479.438110,  460.468781,  395.434204,  302.820801,  204.277634,  126.307480,   92.738823,  110.053551,  174.304596,  268.207458,  368.253601,  444.502014,  479.320953,  460.779083,  396.064178,  303.567657,  204.990555,  126.784218,   92.818581,  109.725357,  175.083267,  270.755280,  370.540344,  445.890594,  479.464722,  459.619598,  394.038391,  301.097809,  202.695892,  125.326523,   92.599602,  110.783928,  175.762283,  269.937134,  369.795837,  445.466766,  479.443329,  460.028168,  394.711823,  301.901398,  203.427475,  125.789177,   92.663155,  110.445076,  175.109283,  269.168671,  369.173096,  445.103546,  479.465851,  460.484375,  395.423889,  302.750000,  204.188095,  126.278099,   92.749031,  110.117012,  174.429596,  268.374969,  368.533386,  444.774475,  479.526367,  460.875214,  396.074127,  303.548553,  204.976120,  126.793716,   92.867363
  5,   0,  50.00000000,  266.00000000,  110.482857,  175.102844,  269.180023,  369.130737,  445.195892,  479.746155,  460.670929,  395.714233,  303.098907,  204.481598,  126.441605,   92.827827,  110.096931,  174.348373,  268.177521,  368.279541,  444.595917,  479.436005,  461.011658,  396.352478,  303.866974,  205.074509,  126.884605,   92.865494,  109.709000,  175.045959,  270.743195,  370.573486,  445.952820,  479.575867,  459.717316,  394.212311,  301.336914,  202.877029,  125.416290,   92.640503,  110.742302,  175.704117,  269.873474,  369.756531,  445.428986,  479.467285,  460.134064,  394.890076,  302.051849,  203.580902,  125.862564,   92.681076,  110.407173,  175.007202,  269.031494,  369.013397,  445.042206,  479.438110,  460.468781,  395.434204,  302.820801,  204.277634,  126.307480,   92.738823,  110.053551,  174.304596,  268.207458,  368.253601,  444.502014,  479.320953,  460.779083,  396.064178,  303.567657,  204.990555,  126.784218,   92.818581,  109.725357,  175.083267,  270.755280,  370.540344,  445.890594,  479.464722,  459.619598,  394.038391,  301.097809,  202.695892,  125.326523,   92.599602,  110.783928,  175.762283,  269.937134,  369.795837,  445.466766,  479.443329,  460.028168,  394.711823,  301.901398,  203.427475,  125.789177,   92.663155,  110.445076,  175.109283,  269.168671,  369.173096,  445.103546,  479.465851,  460.484375,  395.423889,  302.750000,  204.188095,  126.278099,   92.749031,  110.117012,  174.429596,  268.374969,  368.533386,  444.774475,  479.526367,  460.875214,  396.074127,  303.548553,  204.976120,  126.793716,   92.867363
  6,   0,  50.00000000,  267.00000000,  110.482857,  175.102844,  269.180023,  369.130737,  445.195892,  479.746155,  460.670929,  395.714233,  303.098907,  204.481598,  126.441605,   92.827827,  110.096931,  174.348373,  268.177521,  368.279541,  444.595917,  479.436005,  461.011658,  396.352478,  303.866974,  205.074509,  126.884605,   92.865494,  109.709000,  175.045959,  270.743195,  370.573486,  445.952820,  479.575867,  459.717316,  394.212311,  301.336914,  202.877029,  125.416290,   92.640503,  110.742302,  175.704117,  269.873474,  369.756531,  445.428986,  479.467285,  460.134064,  394.890076,  302.051849,  203.580902,  125.862564,   92.681076,  110.407173,  175.007202,  269.031494,  369.013397,  445.042206,  479.438110,  460.468781,  395.434204,  302.820801,  204.277634,  126.307480,   92.738823,  110.053551,  174.304596,  268.207458,  368.253601,  444.502014,  479.320953,  460.779083,  396.064178,  303.567657,  204.990555,  126.784218,   92.818581,  109.725357,  175.083267,  270.755280,  370.540344,  445.890594,  479.464722,  459.619598,  394.038391,  301.097809,  202.695892,  125.326523,   92.599602,  110.783928,  175.762283,  269.937134,  369.795837,  445.466766,  479.443329,  460.028168,  394.711823,  301.901398,  203.427475,  125.789177,   92.663155,  110.445076,  175.109283,  269.168671,  369.173096,  445.103546,  479.465851,  460.484375,  395.423889,  302.750000,  204.188095,  126.278099,   92.749031,  110.117012,  174.429596,  268.374969,  368.533386,  444.774475,  479.526367,  460.875214,  396.074127,  303.548553,  204.976120,  126.793716,   92.867363
  7,   0,  50.00000000,  268.00000000,  110.482857,  175.102844,  269.180023,  369.130737,  445.195892,  479.746155,  460.670929,  395.714233,  303.098907,  204.481598,  126.441605,   92.827827,  110.096931,  174.348373,  268.177521,  368.279541,  444.595917,  479.436005,  461.011658,  396.352478,  303.866974,  205.074509,  126.884605,   92.865494,  109.709000,  175.045959,  270.743195,  370.573486,  445.952820,  479.575867,  459.717316,  394.212311,  301.336914,  202.877029,  125.416290,   92.640503,  110.742302,  175.704117,  269.873474,  369.756531,  445.428986,  479.467285,  460.134064,  394.890076,  302.051849,  203.580902,  125.862564,   92.681076,  110.407173,  175.007202,  269.031494,  369.013397,  445.042206,  479.438110,  460.468781,  395.434204,  302.820801,  204.277634,  126.307480,   92.738823,  110.053551,  174.304596,  268.207458,  368.253601,  444.502014,  479.320953,  460.779083,  396.064178,  303.567657,  204.990555,  126.784218,   92.818581,  109.725357,  175.083267,  270.755280,  370.540344,  445.890594,  479.464722,  459.619598,  394.038391,  301.097809,  202.695892,  125.326523,   92.599602,  110.783928,  175.762283,  269.937134,  369.795837,  445.466766,  479.443329,  460.028168,  394.711823,  301.901398,  203.427475,  125.789177,   92.663155,  110.445076,  175.109283,  269.168671,  369.173096,  445.103546,  479.465851,  460.484375,  395.423889,  302.750000,  204.188095,  126.278099,   92.749031,  110.117012,  174.429596,  268.374969,  368.533386,  444.774475,  479.526367,  460.875214,  396.074127,  303.548553,  204.976120,  126.793716,   92.867363
  8,   0,  50.00000000,  269.00000000,  110.482857,  175.102844,  269.180023,  369.130737,  445.195892,  479.746155,  460.670929,  395.714233,  303.098907,  204.481598,  126.441605,   92.827827,  110.096931,  174.348373,  268.177521,  368.279541,  444.595917,  479.436005,  461.011658,  396.352478,  303.866974,  205.074509,  126.884605,   92.865494,  109.709000,  175.045959,  270.743195,  370.573486,  445.952820,  479.575867,  459.717316,  394.212311,  301.336914,  202.877029,  125.416290,   92.640503,  110.742302,  175.704117,  269.873474,  369.756531,  445.428986,  479.467285,  460.134064,  394.890076,  302.051849,  203.580902,  125.862564,   92.681076,  110.407173,  175.007202,  269.031494,  369.013397,  445.042206,  479.438110,  460.468781,  395.434204,  302.820801,  204.277634,  126.307480,   92.738823,  110.053551,  174.304596,  268.207458,  368.253601,  444.502014,  479.320953,  460.779083,  396.064178,  303.567657,  204.990555,  126.784218,   92.818581,  109.725357,  175.083267,  270.755280,  370.540344,  445.890594,  479.464722,  459.619598,  394.038391,  301.097809,  202.695892,  125.326523,   92.599602,  110.783928,  175.762283,  269.937134,  369.795837,  445.466766,  479.443329,  460.028168,  394.711823,  301.901398,  203.427475,  125.789177,   92.663155,  110.445076,  175.109283,  269.168671,  369.173096,  445.103546,  479.465851,  460.484375,  395.423889,  302.750000,  204.188095,  126.278099,   92.749031,  110.117012,  174.429596,  268.374969,  368.533386,  444.774475,  479.526367,  460.875214,  396.074127,  303.548553,  204.976120,  126.793716,   92.867363
