; Number of ROIs: 1
; File Dimension: 141 x 174
;
; ROI name: ROI #1
; ROI rgb value: {255, 0, 0}
; ROI npts: 24534
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1
;
   0,    0,   -63000.0000,  1490000.0000,  49.09922466,  -97.88437419,  12.000000
   1,    0,   -55000.0000,  1490000.0000,  49.11220439,  -97.77661938,  12.000000
   2,    0,   -47000.0000,  1490000.0000,  49.12508939,  -97.66881175,  12.000000
   3,    0,   -39000.0000,  1490000.0000,  49.13787958,  -97.56095165,  12.000000
   4,    0,   -31000.0000,  1490000.0000,  49.15057490,  -97.45303943,  12.000000
   5,    0,   -23000.0000,  1490000.0000,  49.16317526,  -97.34507544,  12.000000
   6,    0,   -15000.0000,  1490000.0000,  49.17568061,  -97.23706003,  12.000000
   7,    0,    -7000.0000,  1490000.0000,  49.18809087,  -97.12899357,  12.000000
   8,    0,     1000.0000,  1490000.0000,  49.20040597,  -97.02087639,  12.000000
   9,    0,     9000.0000,  1490000.0000,  49.21262583,  -96.91270887,  14.000000
  10,    0,    17000.0000,  1490000.0000,  49.22475040,  -96.80449135,  14.000000
  11,    0,    25000.0000,  1490000.0000,  49.23677960,  -96.69622419,  14.000000
  12,    0,    33000.0000,  1490000.0000,  49.24871336,  -96.58790776,  14.000000
  13,    0,    41000.0000,  1490000.0000,  49.26055162,  -96.47954241,  14.000000
  14,    0,    49000.0000,  1490000.0000,  49.27229431,  -96.37112850,   5.000000
  15,    0,    57000.0000,  1490000.0000,  49.28394136,  -96.26266640,   5.000000
  16,    0,    65000.0000,  1490000.0000,  49.29549270,  -96.15415646,   5.000000
  17,    0,    73000.0000,  1490000.0000,  49.30694827,  -96.04559906,   5.000000
  18,    0,    81000.0000,  1490000.0000,  49.31830800,  -95.93699456,   5.000000
  19,    0,    89000.0000,  1490000.0000,  49.32957184,  -95.82834332,   5.000000
  20,    0,    97000.0000,  1490000.0000,  49.34073970,  -95.71964571,   1.000000
  21,    0,   105000.0000,  1490000.0000,  49.35181154,  -95.61090210,   5.000000
  22,    0,   113000.0000,  1490000.0000,  49.36278728,  -95.50211285,   5.000000
  23,    0,   121000.0000,  1490000.0000,  49.37366686,  -95.39327835,   5.000000
  24,    0,   129000.0000,  1490000.0000,  49.38445022,  -95.28439896,   1.000000
  25,    0,   137000.0000,  1490000.0000,  49.39513730,  -95.17547504,   5.000000
  26,    0,   145000.0000,  1490000.0000,  49.40572804,  -95.06650698,   5.000000
  27,    0,   153000.0000,  1490000.0000,  49.41622237,  -94.95749515,   1.000000
