; Number of ROIs: 1
; File Dimension: 141 x 174
;
; ROI name: ROI #2
; ROI rgb value: {0, 128, 0}
; ROI npts: 24534
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1
;
   0,    0,   -63000.0000,  1490000.0000,  49.09922466,  -97.88437419,   0
   1,    0,   -55000.0000,  1490000.0000,  49.11220439,  -97.77661938,   0
   2,    0,   -47000.0000,  1490000.0000,  49.12508939,  -97.66881175,   0
   3,    0,   -39000.0000,  1490000.0000,  49.13787958,  -97.56095165,   0
   4,    0,   -31000.0000,  1490000.0000,  49.15057490,  -97.45303943,   0
   5,    0,   -23000.0000,  1490000.0000,  49.16317526,  -97.34507544,   0
   6,    0,   -15000.0000,  1490000.0000,  49.17568061,  -97.23706003,   0
   7,    0,    -7000.0000,  1490000.0000,  49.18809087,  -97.12899357,   0
   8,    0,     1000.0000,  1490000.0000,  49.20040597,  -97.02087639,   0
   9,    0,     9000.0000,  1490000.0000,  49.21262583,  -96.91270887,   0
  10,    0,    17000.0000,  1490000.0000,  49.22475040,  -96.80449135,   0
  11,    0,    25000.0000,  1490000.0000,  49.23677960,  -96.69622419,   0
  12,    0,    33000.0000,  1490000.0000,  49.24871336,  -96.58790776,   0
  13,    0,    41000.0000,  1490000.0000,  49.26055162,  -96.47954241,   0
  14,    0,    49000.0000,  1490000.0000,  49.27229431,  -96.37112850,   0
  15,    0,    57000.0000,  1490000.0000,  49.28394136,  -96.26266640,   0
  16,    0,    65000.0000,  1490000.0000,  49.29549270,  -96.15415646,   0
  17,    0,    73000.0000,  1490000.0000,  49.30694827,  -96.04559906,   0
  18,    0,    81000.0000,  1490000.0000,  49.31830800,  -95.93699456,   0
  19,    0,    89000.0000,  1490000.0000,  49.32957184,  -95.82834332,   0
  20,    0,    97000.0000,  1490000.0000,  49.34073970,  -95.71964571,   0
  21,    0,   105000.0000,  1490000.0000,  49.35181154,  -95.61090210,   0
  22,    0,   113000.0000,  1490000.0000,  49.36278728,  -95.50211285,   0
  23,    0,   121000.0000,  1490000.0000,  49.37366686,  -95.39327835,   0
  24,    0,   129000.0000,  1490000.0000,  49.38445022,  -95.28439896,   0
  25,    0,   137000.0000,  1490000.0000,  49.39513730,  -95.17547504,  14
  26,    0,   145000.0000,  1490000.0000,  49.40572804,  -95.06650698,  12
  27,    0,   153000.0000,  1490000.0000,  49.41622237,  -94.95749515,   0
  28,    0,   161000.0000,  1490000.0000,  49.42662023,  -94.84843992,   0
  29,    0,   169000.0000,  1490000.0000,  49.43692157,  -94.73934167,   0
  30,    0,   177000.0000,  1490000.0000,  49.44712632,  -94.63020078,   0
  31,    0,   185000.0000,  1490000.0000,  49.45723442,  -94.52101762,   0
  32,    0,   193000.0000,  1490000.0000,  49.46724582,  -94.41179257,   0
  33,    0,   201000.0000,  1490000.0000,  49.47716045,  -94.30252602,   0
  34,    0,   209000.0000,  1490000.0000,  49.48697827,  -94.19321833,   0
  35,    0,   217000.0000,  1490000.0000,  49.49669921,  -94.08386990,   0
  36,    0,   225000.0000,  1490000.0000,  49.50632321,  -93.97448110,   0
  37,    0,   233000.0000,  1490000.0000,  49.51585022,  -93.86505233,   0
  38,    0,   241000.0000,  1490000.0000,  49.52528019,  -93.75558395,   0
  39,    0,   249000.0000,  1490000.0000,  49.53461305,  -93.64607636,   0
  40,    0,   257000.0000,  1490000.0000,  49.54384876,  -93.53652994,   0
  41,    0,   265000.0000,  1490000.0000,  49.55298725,  -93.42694509,   0
  42,    0,   273000.0000,  1490000.0000,  49.56202848,  -93.31732218,   0
  43,    0,   281000.0000,  1490000.0000,  49.57097239,  -93.20766160,   0
  44,    0,   289000.0000,  1490000.0000,  49.57981893,  -93.09796375,   0
  45,    0,   297000.0000,  1490000.0000,  49.58856805,  -92.98822901,   0
  46,    0,   305000.0000,  1490000.0000,  49.59721969,  -92.87845777,   0
  47,    0,   313000.0000,  1490000.0000,  49.60577381,  -92.76865043,   0
  48,    0,   321000.0000,  1490000.0000,  49.61423035,  -92.65880738,   0
  49,    0,   329000.0000,  1490000.0000,  49.62258927,  -92.54892901,   0
  50,    0,   337000.0000,  1490000.0000,  49.63085051,  -92.43901572,   0
  51,    0,   345000.0000,  1490000.0000,  49.63901403,  -92.32906789,   0
  52,    0,   353000.0000,  1490000.0000,  49.64707977,  -92.21908593,   0
  53,    0,   361000.0000,  1490000.0000,  49.65504769,  -92.10907023,   0
  54,    0,   369000.0000,  1490000.0000,  49.66291774,  -91.99902118,   0
  55,    0,   377000.0000,  1490000.0000,  49.67068988,  -91.88893920,   0
  56,    0,   385000.0000,  1490000.0000,  49.67836406,  -91.77882466,   0
  57,    0,   393000.0000,  1490000.0000,  49.68594023,  -91.66867798,   0
  58,    0,   401000.0000,  1490000.0000,  49.69341835,  -91.55849955,   0
  59,    0,   409000.0000,  1490000.0000,  49.70079837,  -91.44828977,   0
  60,    0,   417000.0000,  1490000.0000,  49.70808025,  -91.33804905,   0
  61,    0,   425000.0000,  1490000.0000,  49.71526394,  -91.22777778,   0
  62,    0,   433000.0000,  1490000.0000,  49.72234941,  -91.11747637,   0
  63,    0,   441000.0000,  1490000.0000,  49.72933661,  -91.00714523,   0
  64,    0,   449000.0000,  1490000.0000,  49.73622550,  -90.89678474,   0
