"","x"
"B1",-0.910143313539121
"B2",-0.93125817821433
"B3",-1.00633187041451
"B4",-0.881327124850141
"B5",-1.03958666739188
"B6",-1.07142316701317
"B7",-0.631774153766191
"B8",-0.583876815838663
"B9",-0.503956065909542
"B10",-0.28637465492184
"B11",-0.114999789355525
"B12",-0.231197111571757
"B13",0.0433591357114992
"B14",0.0986739930622069
"B15",0.0440879420769559
"B16",0.624773731251
"B17",0.77514750869753
"B18",NA
"B19",2.1505512943067
"B20",2.433452313222
"B21",NA
"B22",2.53102856285555
"B23",2.43501130531396
"B24",2.10769890844121
"B25",1.84101926467381
"B26",1.53045069747357
"B27",1.45074994161406
"B28",1.37054756128804
"B29",1.23955783457501
"B30",NA
"B31",1.01956709898424
"B32",1.10934616155123
"B33",1.01598932380803
"B34",0.854978496030481
"B35",0.435244807607175
"B36",0.296272805470482
"B37",-0.0624897859252876
"B38",-0.227906539653179
"B39",-0.363508718185664
"B40",-0.336243708561228
"B41",-0.396777251943858
"B42",-0.480500695610414
"B43",-0.915684292242095
"B44",-0.816306888051313
"B45",-0.791510080042703
"B46",NA
