; Number of ROIs: 1
; File Dimension: 17 x 14
;
; ROI name: ROI #1
; ROI rgb value: {255, 0, 0}
; ROI npts: 238
;
; File X, File Y, Lat, Lon, B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20, B21, B22, B23, B24, B25, B26, B27, B28, B29, B30, B31, B32, B33, B34, B35, B36, B37, B38, B39, B40, B41, B42, B43, B44, B45, B46, B47, B48, B49, B50, B51, B52, B53, B54, B55, B56, B57, B58, B59, B60, B61, B62, B63, B64, B65, B66, B67, B68, B69, B70, B71, B72, B73, B74, B75, B76, B77, B78, B79, B80, B81, B82, B83, B84, B85, B86, B87, B88, B89, B90, B91, B92, B93, B94, B95, B96, B97, B98, B99, B100, B101, B102, B103, B104, B105, B106, B107, B108, B109, B110, B111, B112, B113, B114, B115, B116, B117, B118, B119, B120
;
  0,   0,  50.00000000,  -99.00000000,  0.518494,  0.633516,  0.626278,  0.544892,  0.576678,  0.529621,  0.590239,  0.501973,  0.525427,  0.480407,  0.449961,  0.456541,  0.552082,  0.658941,  0.595836,  0.566173,  0.534395,  0.524213,  0.566112,  0.558592,  0.482202,  0.522698,  0.525785,  0.491464,  0.597889,  0.658568,  0.676494,  0.550623,  0.466380,  0.527406,  0.536797,  0.451813,  0.488020,  0.468446,  0.531395,  0.432440,  0.550167,  0.690463,  0.697566,  0.583961,  0.484648,  0.460546,  0.584750,  0.557654,  0.567454,  0.460492,  0.401726,  0.514571,  0.494765,  0.692203,  0.666399,  0.566196,  0.511316,  0.558313,  0.612132,  0.587460,  0.556026,  0.474599,  0.409838,  0.454552,  0.619599,  0.669325,  0.622203,  0.625399,  0.463988,  0.549918,  0.595506,  0.533775,  0.511546,  0.461044,  0.427639,  0.499392,  0.636312,  0.682551,  0.660875,  0.595930,  0.571965,  0.543703,  0.549835,  0.580871,  0.514079,  0.529508,  0.421954,  0.584775,  0.624536,  0.667236,  0.654862,  0.545088,  0.532826,  0.536706,  0.580288,  0.510450,  0.589995,  0.371377,  0.569183,  0.498550,  0.610140,  0.641254,  0.575241,  0.586463,  0.474398,  0.502900,  0.593430,  0.518039,  0.490791,  0.594660,  0.443450,  0.535139,  0.615066,  0.708961,  0.673946,  0.527447,  0.467186,  0.502963,  0.609073,  0.612478,  0.585843,  0.538969,  0.467742,  0.410235
  1,   0,  50.00000000,  -98.00000000,  0.510671,  0.642837,  0.647297,  0.542511,  0.556629,  0.528760,  0.580239,  0.505466,  0.528076,  0.435574,  0.413722,  0.476574,  0.553730,  0.669729,  0.596519,  0.575849,  0.532387,  0.542263,  0.540230,  0.534679,  0.460260,  0.504381,  0.477391,  0.429800,  0.516599,  0.612606,  0.660767,  0.557980,  0.454994,  0.517993,  0.523164,  0.473610,  0.467511,  0.437911,  0.505858,  0.461542,  0.560422,  0.682180,  0.704930,  0.548035,  0.455609,  0.407830,  0.570036,  0.533246,  0.558092,  0.472051,  0.400293,  0.472211,  0.475408,  0.692009,  0.657713,  0.563395,  0.495144,  0.565208,  0.596528,  0.557830,  0.532256,  0.442468,  0.420923,  0.461653,  0.596375,  0.680928,  0.628362,  0.612866,  0.467273,  0.541531,  0.594528,  0.530559,  0.469903,  0.403933,  0.397456,  0.506843,  0.626492,  0.687398,  0.668537,  0.594258,  0.580295,  0.547662,  0.527386,  0.560729,  0.488175,  0.481252,  0.390366,  0.531289,  0.617065,  0.668787,  0.625199,  0.511300,  0.516213,  0.513139,  0.557446,  0.492307,  0.577680,  0.363751,  0.531360,  0.440617,  0.560810,  0.649988,  0.542516,  0.554279,  0.482950,  0.477631,  0.576469,  0.507736,  0.510772,  0.578767,  0.420828,  0.512702,  0.626606,  0.689077,  0.667161,  0.515381,  0.476034,  0.495033,  0.602568,  0.598491,  0.577898,  0.523963,  0.449618,  0.400289
  2,   0,  50.00000000,  -97.00000000,  0.510671,  0.642837,  0.647297,  0.542511,  0.556629,  0.528760,  0.580239,  0.505466,  0.528076,  0.435574,  0.413722,  0.476574,  0.553730,  0.669729,  0.596519,  0.575849,  0.532387,  0.542263,  0.540230,  0.534679,  0.460260,  0.504381,  0.477391,  0.429800,  0.516599,  0.612606,  0.660767,  0.557980,  0.454994,  0.517993,  0.523164,  0.473610,  0.467511,  0.437911,  0.505858,  0.461542,  0.560422,  0.682180,  0.704930,  0.548035,  0.455609,  0.407830,  0.570036,  0.533246,  0.558092,  0.472051,  0.400293,  0.472211,  0.475408,  0.692009,  0.657713,  0.563395,  0.495144,  0.565208,  0.596528,  0.557830,  0.532256,  0.442468,  0.420923,  0.461653,  0.596375,  0.680928,  0.628362,  0.612866,  0.467273,  0.541531,  0.594528,  0.530559,  0.469903,  0.403933,  0.397456,  0.506843,  0.626492,  0.687398,  0.668537,  0.594258,  0.580295,  0.547662,  0.527386,  0.560729,  0.488175,  0.481252,  0.390366,  0.531289,  0.617065,  0.668787,  0.625199,  0.511300,  0.516213,  0.513139,  0.557446,  0.492307,  0.577680,  0.363751,  0.531360,  0.440617,  0.560810,  0.649988,  0.542516,  0.554279,  0.482950,  0.477631,  0.576469,  0.507736,  0.510772,  0.578767,  0.420828,  0.512702,  0.626606,  0.689077,  0.667161,  0.515381,  0.476034,  0.495033,  0.602568,  0.598491,  0.577898,  0.523963,  0.449618,  0.400289
  3,   0,  50.00000000,  -96.00000000,  0.503216,  0.643860,  0.663927,  0.520361,  0.541551,  0.505091,  0.561759,  0.517281,  0.545164,  0.369588,  0.382367,  0.489183,  0.617970,  0.680314,  0.565206,  0.565138,  0.540775,  0.536426,  0.538391,  0.544947,  0.452405,  0.476178,  0.406040,  0.451144,  0.582491,  0.547544,  0.562745,  0.534697,  0.461046,  0.515739,  0.504778,  0.466497,  0.446957,  0.423931,  0.468529,  0.439498,  0.546934,  0.577704,  0.657933,  0.526902,  0.462564,  0.408966,  0.574033,  0.496722,  0.527182,  0.449659,  0.379219,  0.406516,  0.469868,  0.670490,  0.577357,  0.543381,  0.496920,  0.560212,  0.603747,  0.548030,  0.531699,  0.440689,  0.407918,  0.448854,  0.573178,  0.644256,  0.558087,  0.590524,  0.469793,  0.522167,  0.573875,  0.529096,  0.455836,  0.381481,  0.364494,  0.470811,  0.594000,  0.673141,  0.668450,  0.571362,  0.570789,  0.525821,  0.496250,  0.563600,  0.474568,  0.454437,  0.368856,  0.543548,  0.632398,  0.588192,  0.619247,  0.496054,  0.507115,  0.494693,  0.512255,  0.477976,  0.600464,  0.364651,  0.459624,  0.436584,  0.553807,  0.667662,  0.542075,  0.556262,  0.486104,  0.452692,  0.552393,  0.524610,  0.506594,  0.575179,  0.447552,  0.527121,  0.593465,  0.656803,  0.654585,  0.513402,  0.496622,  0.456780,  0.592987,  0.596564,  0.571788,  0.500090,  0.427227,  0.433977
  4,   0,  50.00000000,  -95.00000000,  0.503216,  0.643860,  0.663927,  0.520361,  0.541551,  0.505091,  0.561759,  0.517281,  0.545164,  0.369588,  0.382367,  0.489183,  0.617970,  0.680314,  0.565206,  0.565138,  0.540775,  0.536426,  0.538391,  0.544947,  0.452405,  0.476178,  0.406040,  0.451144,  0.582491,  0.547544,  0.562745,  0.534697,  0.461046,  0.515739,  0.504778,  0.466497,  0.446957,  0.423931,  0.468529,  0.439498,  0.546934,  0.577704,  0.657933,  0.526902,  0.462564,  0.408966,  0.574033,  0.496722,  0.527182,  0.449659,  0.379219,  0.406516,  0.469868,  0.670490,  0.577357,  0.543381,  0.496920,  0.560212,  0.603747,  0.548030,  0.531699,  0.440689,  0.407918,  0.448854,  0.573178,  0.644256,  0.558087,  0.590524,  0.469793,  0.522167,  0.573875,  0.529096,  0.455836,  0.381481,  0.364494,  0.470811,  0.594000,  0.673141,  0.668450,  0.571362,  0.570789,  0.525821,  0.496250,  0.563600,  0.474568,  0.454437,  0.368856,  0.543548,  0.632398,  0.588192,  0.619247,  0.496054,  0.507115,  0.494693,  0.512255,  0.477976,  0.600464,  0.364651,  0.459624,  0.436584,  0.553807,  0.667662,  0.542075,  0.556262,  0.486104,  0.452692,  0.552393,  0.524610,  0.506594,  0.575179,  0.447552,  0.527121,  0.593465,  0.656803,  0.654585,  0.513402,  0.496622,  0.456780,  0.592987,  0.596564,  0.571788,  0.500090,  0.427227,  0.433977
  5,   0,  50.00000000,  -94.00000000,  0.468517,  0.649017,  0.686767,  0.528468,  0.536575,  0.494708,  0.560550,  0.502353,  0.537386,  0.344404,  0.351506,  0.425154,  0.618429,  0.669094,  0.603873,  0.567457,  0.551583,  0.522117,  0.541414,  0.530215,  0.432310,  0.418714,  0.353021,  0.429105,  0.544453,  0.596970,  0.599381,  0.519827,  0.478130,  0.516640,  0.497729,  0.465401,  0.450459,  0.410026,  0.434255,  0.401740,  0.497108,  0.546747,  0.666745,  0.529068,  0.455682,  0.433398,  0.576927,  0.491909,  0.504842,  0.408418,  0.348652,  0.367444,  0.456995,  0.677556,  0.622224,  0.525692,  0.512940,  0.569438,  0.594152,  0.568858,  0.508305,  0.448187,  0.380344,  0.409913,  0.499294,  0.633677,  0.584829,  0.603905,  0.489421,  0.518247,  0.551399,  0.521616,  0.437480,  0.373065,  0.380638,  0.404252,  0.554311,  0.685114,  0.677611,  0.610597,  0.549035,  0.496628,  0.471740,  0.594875,  0.468280,  0.412539,  0.340910,  0.484518,  0.592849,  0.582822,  0.649461,  0.554792,  0.494493,  0.479419,  0.482733,  0.471185,  0.586035,  0.380071,  0.420140,  0.403125,  0.507392,  0.674575,  0.543641,  0.583093,  0.482583,  0.458517,  0.532893,  0.542745,  0.471669,  0.552202,  0.406672,  0.460068,  0.560749,  0.654159,  0.647418,  0.540093,  0.513613,  0.458991,  0.558950,  0.572731,  0.550463,  0.481827,  0.376690,  0.366515
  6,   0,  50.00000000,  -93.00000000,  0.468517,  0.649017,  0.686767,  0.528468,  0.536575,  0.494708,  0.560550,  0.502353,  0.537386,  0.344404,  0.351506,  0.425154,  0.618429,  0.669094,  0.603873,  0.567457,  0.551583,  0.522117,  0.541414,  0.530215,  0.432310,  0.418714,  0.353021,  0.429105,  0.544453,  0.596970,  0.599381,  0.519827,  0.478130,  0.516640,  0.497729,  0.465401,  0.450459,  0.410026,  0.434255,  0.401740,  0.497108,  0.546747,  0.666745,  0.529068,  0.455682,  0.433398,  0.576927,  0.491909,  0.504842,  0.408418,  0.348652,  0.367444,  0.456995,  0.677556,  0.622224,  0.525692,  0.512940,  0.569438,  0.594152,  0.568858,  0.508305,  0.448187,  0.380344,  0.409913,  0.499294,  0.633677,  0.584829,  0.603905,  0.489421,  0.518247,  0.551399,  0.521616,  0.437480,  0.373065,  0.380638,  0.404252,  0.554311,  0.685114,  0.677611,  0.610597,  0.549035,  0.496628,  0.471740,  0.594875,  0.468280,  0.412539,  0.340910,  0.484518,  0.592849,  0.582822,  0.649461,  0.554792,  0.494493,  0.479419,  0.482733,  0.471185,  0.586035,  0.380071,  0.420140,  0.403125,  0.507392,  0.674575,  0.543641,  0.583093,  0.482583,  0.458517,  0.532893,  0.542745,  0.471669,  0.552202,  0.406672,  0.460068,  0.560749,  0.654159,  0.647418,  0.540093,  0.513613,  0.458991,  0.558950,  0.572731,  0.550463,  0.481827,  0.376690,  0.366515
  7,   0,  50.00000000,  -92.00000000,  0.467779,  0.606910,  0.681307,  0.536400,  0.522006,  0.486041,  0.567184,  0.486298,  0.510121,  0.363741,  0.354668,  0.454252,  0.629049,  0.666619,  0.617158,  0.568302,  0.547016,  0.515447,  0.506813,  0.531221,  0.433647,  0.399169,  0.336249,  0.403527,  0.578640,  0.616369,  0.635224,  0.508010,  0.486459,  0.507345,  0.505050,  0.482045,  0.458286,  0.391532,  0.405612,  0.411154,  0.517496,  0.549434,  0.675741,  0.531996,  0.466930,  0.474975,  0.585533,  0.496130,  0.484559,  0.378529,  0.317050,  0.390077,  0.510714,  0.683988,  0.674780,  0.538535,  0.487006,  0.580257,  0.582954,  0.581739,  0.493299,  0.468069,  0.361842,  0.396075,  0.523347,  0.642285,  0.617250,  0.589853,  0.500536,  0.501674,  0.539364,  0.506160,  0.429163,  0.396787,  0.374932,  0.401627,  0.552103,  0.671425,  0.678153,  0.601583,  0.513480,  0.482184,  0.476380,  0.603465,  0.454839,  0.393685,  0.341171,  0.465575,  0.572154,  0.566680,  0.671961,  0.570067,  0.501619,  0.481423,  0.475433,  0.459707,  0.561075,  0.405067,  0.395765,  0.413037,  0.487947,  0.703906,  0.555206,  0.614649,  0.509629,  0.465863,  0.515534,  0.543340,  0.455616,  0.530252,  0.394718,  0.424087,  0.580655,  0.653727,  0.672876,  0.595810,  0.504399,  0.484374,  0.538210,  0.561903,  0.534041,  0.486431,  0.365614,  0.340569
  8,   0,  50.00000000,  -91.00000000,  0.467779,  0.606910,  0.681307,  0.536400,  0.522006,  0.486041,  0.567184,  0.486298,  0.510121,  0.363741,  0.354668,  0.454252,  0.629049,  0.666619,  0.617158,  0.568302,  0.547016,  0.515447,  0.506813,  0.531221,  0.433647,  0.399169,  0.336249,  0.403527,  0.578640,  0.616369,  0.635224,  0.508010,  0.486459,  0.507345,  0.505050,  0.482045,  0.458286,  0.391532,  0.405612,  0.411154,  0.517496,  0.549434,  0.675741,  0.531996,  0.466930,  0.474975,  0.585533,  0.496130,  0.484559,  0.378529,  0.317050,  0.390077,  0.510714,  0.683988,  0.674780,  0.538535,  0.487006,  0.580257,  0.582954,  0.581739,  0.493299,  0.468069,  0.361842,  0.396075,  0.523347,  0.642285,  0.617250,  0.589853,  0.500536,  0.501674,  0.539364,  0.506160,  0.429163,  0.396787,  0.374932,  0.401627,  0.552103,  0.671425,  0.678153,  0.601583,  0.513480,  0.482184,  0.476380,  0.603465,  0.454839,  0.393685,  0.341171,  0.465575,  0.572154,  0.566680,  0.671961,  0.570067,  0.501619,  0.481423,  0.475433,  0.459707,  0.561075,  0.405067,  0.395765,  0.413037,  0.487947,  0.703906,  0.555206,  0.614649,  0.509629,  0.465863,  0.515534,  0.543340,  0.455616,  0.530252,  0.394718,  0.424087,  0.580655,  0.653727,  0.672876,  0.595810,  0.504399,  0.484374,  0.538210,  0.561903,  0.534041,  0.486431,  0.365614,  0.340569
