"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"2",-63000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"3",-55000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"4",-47000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"5",-39000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"6",-31000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"7",-23000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"8",-15000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"9",-7000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"10",1000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"11",9000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"12",17000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"13",25000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"14",33000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"15",41000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"16",49000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"17",57000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"18",65000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"19",73000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"20",81000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"21",89000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"22",97000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"23",105000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"24",113000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"25",121000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"26",129000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
