"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"2",-63000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-55000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",-47000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",-39000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",-31000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",-23000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",-15000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-7000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",9000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",17000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",25000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",33000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",41000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",49000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",57000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",65000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",81000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",89000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",97000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",105000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",113000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",121000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",129000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",137000,1490000,10.2814618274708,16.2367219771158,13.5835258293404,1.00126540409597,1.90566656187805,3.86662899787502,3.91025899375308,3.83242241689684,3.87430052432266,3.33985732812994,4.01790484552505,8.34542284996604
"28",145000,1490000,-0.133712281814595,-0.0766894388698228,-0.0714855292061357,-0.00675049302877196,0.0119720429528284,0.00806712090881542,0.0191002298750423,-0.0248265869888657,-0.0119093481022104,0.00315870546052394,-0.0081363570417901,-0.0580433226827867
"29",153000,1490000,10.906410520463,17.792394299352,16.6323233600205,5.29797047702827,5.21880638000848,8.17137169172393,8.52222776425069,8.06755975684787,6.77358234347269,5.18018472384953,4.44758983458881,7.79174194682012
"30",161000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",169000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",177000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",185000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",193000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",201000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",209000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",217000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",225000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",233000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",241000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",249000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",257000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",265000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",273000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",281000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",289000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",297000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
